cogn_load,painlvl,trialtyp,painrating,painrating_validity,nbackresponse,nbackresponse_validyity,numboftargetocc,correctans,trialnum,run,blocktype,subjID
1,1,3,38.8392857142857,1,2,1,2,1,5,1,4,n31b2j4ah
1,0,1,5.35714285714286,1,5,1,5,1,6,1,4,n31b2j4ah
2,0,2,-0,1,2,1,2,1,7,1,4,n31b2j4ah
2,1,4,17.2619047619048,1,3,1,3,1,8,1,4,n31b2j4ah
1,1,3,20.2380952380952,1,3,1,3,1,9,1,4,n31b2j4ah
2,0,2,-0,1,3,1,3,1,10,1,4,n31b2j4ah
1,0,1,12.797619047619,1,2,1,2,1,11,1,4,n31b2j4ah
1,1,3,41.8154761904762,1,4,1,4,1,12,1,4,n31b2j4ah
2,1,4,6.8452380952381,1,0,1,2,0,13,1,4,n31b2j4ah
1,0,1,15.0297619047619,1,5,1,5,1,14,1,4,n31b2j4ah
2,0,2,-0,1,2,1,2,1,15,1,4,n31b2j4ah
2,1,4,26.1904761904762,1,1,1,2,0,16,1,4,n31b2j4ah
2,1,4,3.86904761904762,1,5,1,5,1,17,1,4,n31b2j4ah
2,0,2,-0,1,1,1,2,0,18,1,4,n31b2j4ah
1,1,3,34.375,1,3,1,3,1,19,1,4,n31b2j4ah
1,0,1,9.82142857142857,1,5,1,5,1,20,1,4,n31b2j4ah
2,1,4,20.9821428571429,1,3,1,4,0,1,2,9,n31b2j4ah
2,1,4,29.9107142857143,1,3,1,4,0,2,2,9,n31b2j4ah
1,0,1,15.0297619047619,1,2,1,2,1,3,2,9,n31b2j4ah
2,1,4,33.6309523809524,1,3,1,4,0,4,2,9,n31b2j4ah
1,1,3,52.2321428571429,1,5,1,5,1,5,2,9,n31b2j4ah
2,0,2,38.8392857142857,1,2,1,2,1,6,2,9,n31b2j4ah
1,0,1,28.422619047619,1,2,1,2,1,7,2,9,n31b2j4ah
2,1,4,38.0952380952381,1,4,1,5,0,8,2,9,n31b2j4ah
1,1,3,65.625,1,2,1,2,1,9,2,9,n31b2j4ah
2,0,2,27.6785714285714,1,4,1,5,0,10,2,9,n31b2j4ah
1,0,1,28.422619047619,1,5,1,5,1,11,2,9,n31b2j4ah
1,1,3,72.3214285714286,1,3,1,3,1,12,2,9,n31b2j4ah
1,1,3,68.6011904761905,1,3,1,3,1,13,2,9,n31b2j4ah
2,0,2,24.702380952381,1,5,1,5,1,14,2,9,n31b2j4ah
2,0,2,33.6309523809524,1,3,1,3,1,15,2,9,n31b2j4ah
2,1,4,54.4642857142857,1,3,1,5,0,16,2,9,n31b2j4ah
1,0,1,44.047619047619,1,4,1,4,1,17,2,9,n31b2j4ah
1,1,3,65.625,1,5,1,5,1,18,2,9,n31b2j4ah
2,0,2,20.2380952380952,1,3,1,3,1,19,2,9,n31b2j4ah
1,0,1,35.8630952380952,1,3,1,3,1,20,2,9,n31b2j4ah
1,0,1,38.8392857142857,1,3,1,3,1,1,1,5,n31m2hc54
2,1,4,46.2797619047619,1,4,1,5,0,2,1,5,n31m2hc54
2,0,2,24.702380952381,1,5,1,5,1,3,1,5,n31m2hc54
2,0,2,11.3095238095238,1,1,1,2,0,4,1,5,n31m2hc54
2,1,4,44.7916666666667,1,2,1,3,0,5,1,5,n31m2hc54
1,1,3,64.8809523809524,1,3,1,3,1,6,1,5,n31m2hc54
2,0,2,39.5833333333333,1,5,1,4,0,7,1,5,n31m2hc54
1,1,3,50,0,0,0,4,0,8,1,5,n31m2hc54
1,0,1,34.375,1,4,1,5,0,9,1,5,n31m2hc54
2,1,4,55.2083333333333,1,3,1,3,1,10,1,5,n31m2hc54
1,1,3,64.1369047619048,1,4,1,4,1,11,1,5,n31m2hc54
1,0,1,26.1904761904762,1,4,1,4,1,12,1,5,n31m2hc54
1,0,1,40.327380952381,1,2,1,2,1,13,1,5,n31m2hc54
2,1,4,61.1607142857143,1,1,1,2,0,14,1,5,n31m2hc54
2,0,2,38.0952380952381,1,3,1,3,1,15,1,5,n31m2hc54
1,0,1,65.625,1,5,1,5,1,16,1,5,n31m2hc54
1,1,3,73.0654761904762,1,3,1,3,1,17,1,5,n31m2hc54
1,1,3,69.3452380952381,1,4,1,4,1,18,1,5,n31m2hc54
2,0,2,20.9821428571429,1,2,1,2,1,19,1,5,n31m2hc54
2,1,4,67.8571428571429,1,5,1,5,1,20,1,5,n31m2hc54
1,0,1,7.58928571428571,1,4,1,4,1,1,2,1,n31m2hc54
1,0,1,16.5178571428571,1,4,1,4,1,2,2,1,n31m2hc54
1,1,3,65.625,1,5,1,5,1,3,2,1,n31m2hc54
2,1,4,54.4642857142857,1,3,1,5,0,4,2,1,n31m2hc54
1,0,1,41.0714285714286,1,4,1,4,1,5,2,1,n31m2hc54
1,1,3,62.6488095238095,1,2,1,2,1,6,2,1,n31m2hc54
2,0,2,50,1,2,1,2,1,7,2,1,n31m2hc54
2,1,4,62.6488095238095,1,3,1,3,1,8,2,1,n31m2hc54
2,1,4,64.1369047619048,1,4,1,5,0,9,2,1,n31m2hc54
2,0,2,50.7440476190476,1,2,1,3,0,10,2,1,n31m2hc54
1,1,3,70.0892857142857,1,5,1,5,1,11,2,1,n31m2hc54
2,1,4,54.4642857142857,1,2,1,2,1,12,2,1,n31m2hc54
2,0,2,40.327380952381,1,5,1,5,1,13,2,1,n31m2hc54
1,0,1,33.6309523809524,1,3,1,3,1,14,2,1,n31m2hc54
1,1,3,77.5297619047619,1,2,1,2,1,15,2,1,n31m2hc54
2,1,4,57.4404761904762,1,3,1,3,1,16,2,1,n31m2hc54
1,0,1,58.9285714285714,1,4,1,4,1,17,2,1,n31m2hc54
1,1,3,65.625,1,3,1,3,1,18,2,1,n31m2hc54
2,0,2,23.2142857142857,1,2,1,3,0,19,2,1,n31m2hc54
2,0,2,55.952380952381,1,4,1,5,0,20,2,1,n31m2hc54
1,1,3,38.0952380952381,1,4,1,4,1,1,1,4,n3etrxthr
2,0,2,3.125,1,4,1,4,1,2,1,4,n3etrxthr
1,0,1,4.46428571428571,1,3,1,3,1,3,1,4,n3etrxthr
2,1,4,11.3095238095238,1,4,0,4,1,4,1,4,n3etrxthr
1,1,3,55.2083333333333,1,4,1,4,1,5,1,4,n3etrxthr
1,0,1,7.58928571428571,1,3,1,3,1,6,1,4,n3etrxthr
2,0,2,6.8452380952381,1,2,1,2,1,7,1,4,n3etrxthr
2,1,4,41.8154761904762,1,2,1,2,1,8,1,4,n3etrxthr
1,1,3,61.9047619047619,1,2,1,2,1,9,1,4,n3etrxthr
2,0,2,15.0297619047619,1,3,1,3,1,10,1,4,n3etrxthr
1,0,1,30.6547619047619,1,5,1,5,1,11,1,4,n3etrxthr
1,1,3,50,1,2,1,2,1,12,1,4,n3etrxthr
2,1,4,35.8630952380952,1,3,1,4,0,13,1,4,n3etrxthr
1,0,1,0.892857142857143,1,5,1,5,1,14,1,4,n3etrxthr
2,0,2,28.422619047619,1,5,1,5,1,15,1,4,n3etrxthr
2,1,4,58.1845238095238,1,4,1,4,1,16,1,4,n3etrxthr
2,1,4,33.6309523809524,1,2,1,2,1,17,1,4,n3etrxthr
2,0,2,32.8869047619048,1,2,1,2,1,18,1,4,n3etrxthr
1,1,3,25.4464285714286,1,2,1,2,1,19,1,4,n3etrxthr
1,0,1,27.6785714285714,1,4,1,4,1,20,1,4,n3etrxthr
1,0,1,28.422619047619,1,4,1,4,1,1,2,10,n3etrxthr
1,1,3,18.75,1,3,1,3,1,2,2,10,n3etrxthr
2,1,4,12.797619047619,1,4,1,4,1,3,2,10,n3etrxthr
2,0,2,16.5178571428571,1,3,1,3,1,4,2,10,n3etrxthr
2,1,4,50,1,4,1,4,1,5,2,10,n3etrxthr
1,1,3,32.8869047619048,1,5,1,5,1,6,2,10,n3etrxthr
