subjid,hemisphere,layer,pain_high_cogn_high_pain,pain_high_cogn_low_pain,pain_low_cogn_high_pain,pain_low_cogn_low_pain
7404,1,17,50.0483570282967,51.5007270210638,49.5863404779725,50.2510028804601
7404,1,18,52.3093684995514,53.1167403483753,49.5567063536049,50.8935895170969
7404,1,19,53.8599183639945,55.2265502899535,49.5080288769478,51.3531010916988
7404,1,20,53.9365810553465,57.2112223843048,49.5031128988701,51.5809529248515
7405,1,1,75.92464231501,73.344725533995,76.2767822479291,75.6673065454622
7405,1,2,77.2982007089392,74.202170366103,76.2425340766431,76.7495515858343
7405,1,3,77.7395092694594,75.5414490850844,76.1904302241283,78.2696351014629
7405,1,4,77.4910474679815,76.7078826986749,75.8755212943433,79.0965680996193
7405,1,5,77.0912203958949,76.5018714146871,74.9219364793753,78.1068551569975
7405,1,6,77.035251267469,74.3921630441732,73.3772053487758,76.0508175877836
7405,1,7,76.6131628246577,70.9243196698298,71.7331423122868,73.4462947429438
7405,1,8,74.9464757328994,66.6877102454852,68.9453040615492,70.4201190061909
7405,1,9,71.4392332041807,62.7533553702171,65.7003488566249,67.5608619941375
7405,1,10,67.4087195552539,59.527465048631,62.6306629455725,64.8756538549398
7405,1,11,63.3389525944273,56.8777684304249,59.0398683137638,62.0902368886189
7405,1,12,59.7339818879261,54.7289931221168,55.4366197059268,59.4055736648271
7405,1,13,56.5731712562196,52.6329708724769,52.1495281099131,56.3904477679503
7405,1,14,54.0381449593252,51.0810176995519,49.7068745561084,53.546779733989
7405,1,15,52.0702251973532,50.4565221138788,48.6714139073391,51.496036482882
7405,1,16,50.9876705181386,50.87258708895,48.6679416792296,50.5793072596782
7405,1,17,50.8270095751793,51.8967768545273,49.5007529246251,50.6849854180689
7405,1,18,51.6366881832382,53.1116492044242,50.4192797654441,51.2644134791842
7405,1,19,52.7354077061325,53.6888161033095,50.8110847658129,51.8640639131889
7405,1,20,53.4812969184226,53.6329872606476,50.9175452330354,52.3499529464697
7408,1,1,75.8178523351289,71.7053823141533,78.0424804029227,81.6856425454669
7408,1,2,76.0859273871768,73.3168169484828,79.8689668330722,82.4956916126216
7408,1,3,77.0657464623511,74.3205692631296,80.6859393719417,83.2852908300639
7408,1,4,78.0771439711685,74.2127704126955,80.6468784484731,83.2439619662622
7408,1,5,78.3844063899009,72.8461525948373,79.7983758472115,81.4279152809331
7408,1,6,77.2667334369722,71.1217489859711,78.2956741360433,78.4732402646758
7408,1,7,74.5447052408712,69.6514745677339,76.3582670768982,74.742202400478
7408,1,8,70.4160941378945,67.7828942389497,72.6664596706338,70.9011002157743
7408,1,9,66.3552926370589,65.2740234024398,68.1530920442714,67.2581514294591
