subjid,hemisphere,layer,pain_high_cogn_high_pain,pain_high_cogn_low_pain,pain_low_cogn_high_pain,pain_low_cogn_low_pain
7402,1,3,97.6090699260052,93.6952525015086,109.003028977741,99.9895769026669
7402,1,4,94.810041908451,88.7598107857434,103.57662587844,97.6206957617625
7402,1,5,91.3837897493473,83.9258639701693,97.8886709277482,91.9693910170366
7402,1,6,89.0522271856969,80.5655157666961,93.4966722894897,85.8301187349744
7402,1,7,86.5719676698071,78.1667662967925,89.7315691821228,80.1881198113339
7402,1,8,83.1864296545436,75.6059427378469,85.5337833551709,74.9248693784942
7402,1,9,79.2378221771493,72.6180229910777,81.0688005812863,70.3205712725277
7402,1,10,76.1828657218324,70.1041466665162,77.4644038210964,67.13194945207
7402,1,11,72.7759913209798,67.3313956562471,74.0474432699393,64.1931497583951
7402,1,12,69.3950109115057,63.7989513246591,70.6741274622565,61.2377786481754
7402,1,13,65.1705672911309,59.3626350836677,66.4715967562144,58.0888149300895
7402,1,14,59.6874229026735,54.0056433174812,61.2651428164833,54.3740671176495
7402,1,15,54.4425490549532,49.6035849384992,56.4666624024231,50.6149738081386
7402,1,16,49.7711834915214,46.2459140643186,52.2674778934219,46.7089173341088
7402,1,17,46.5525815400073,44.3877709016089,49.5482297310883,43.5890544389733
7402,1,18,44.5960490753899,43.6881738284306,48.0946909405831,41.4061331359867
7402,1,19,43.2473695273222,43.1639154650314,47.1946623032196,39.8181419534838
7402,1,20,42.4482572422215,42.9121989966554,46.8363736219323,38.9383534717645
7403,1,1,93.621841429173,90.1323010502808,93.5707547719499,97.4539622990906
7403,1,2,100.600365004531,96.4200821351194,98.0715343285481,102.690244886226
7403,1,3,102.418602465957,97.7095241418802,96.8793117475231,101.524638397537
7403,1,4,99.1409107884755,94.8839363323483,92.6640205356695,96.8315597850791
7403,1,5,93.5663603754289,90.6909947714067,87.9276921290648,92.4601959044099
7403,1,6,88.0473684605238,87.4661251537971,83.6837213168376,89.1273492007129
7403,1,7,83.4929989656298,84.7631861949078,79.6803039838372,85.3343503082409
7403,1,8,79.3280018363264,81.6850588229754,75.6632435369161,80.555735170307
7403,1,9,75.7442114061543,77.4668569726618,71.7053534701622,76.207802497741
7403,1,10,73.1900016723835,73.564421122954,68.7605757852673,73.4905571286011
7403,1,11,70.5399364297246,69.3367750745028,65.8821442065492,71.3924126036983
7403,1,12,67.3639129813536,65.2036969268921,62.9584825317615,69.0547658838683
7403,1,13,63.3767082600737,60.4882360269453,59.733611494087,65.4633000878999
7403,1,14,58.3390404747382,55.150353952749,55.9127001396752,60.1247347896314
7403,1,15,53.4167421749627,50.8416830315513,52.2977301640389,54.7292314521881
7403,1,16,49.1189403320567,47.3041434159352,48.7367346590411,49.8662117964631
7403,1,17,46.2341881078361,45.0719193717821,46.2140227845407,46.4038392957052
7403,1,18,44.4466073164031,44.1224777078078,44.6361413484697,44.273129922725
7403,1,19,43.266064545757,43.6503326425781,43.2891086845054,42.8998536836767
7403,1,20,42.5992239903491,43.4794053222098,42.6570616917411,42.163647258443
7404,1,1,100.144585259808,93.70541593965,102.02291798566,80.6770538733556
7404,1,2,106.370206236763,99.2521567740457,106.779635925208,85.7159126088425
7404,1,3,104.87625289731,99.0504043553913,104.353083495015,87.7244973676825
7404,1,4,98.314612301092,95.5591020383531,98.4570506982999,86.6757291596571
7404,1,5,91.1633766182039,91.0283383542662,92.6636504555012,85.374028808903
7404,1,6,85.6712546083334,87.2304187261474,88.2173932383687,84.8974096124072
7404,1,7,81.3008024610147,83.7448871190855,84.2881048369827,84.3908721093625
7404,1,8,77.1330722594374,79.6703221397414,80.45865311841,82.274082381906
7404,1,9,73.1741966944799,75.5296434472538,76.5179922092864,78.6909487590838
7404,1,10,70.6404463981684,72.0432902114575,73.3961475081244,75.604423970924
